"product_review","word","n","sentiment"
"Fitbit Flex 2, Black (US Version), 1 Count","gift",199,"surprise"
"Fitbit Flex 2, Black (US Version), 1 Count","late",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","late",199,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","level",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","level",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","love",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","love",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","model",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","pretty",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","pretty",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","pretty",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","pretty",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","reading",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","recommend",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","recommend",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","spent",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","success",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","success",199,"joy"
"Fitbit Flex 2, Black (US Version), 1 Count","success",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","technology",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","tolerate",199,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","tolerate",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","tolerate",199,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","top",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","top",199,"positive"
"Fitbit Flex 2, Black (US Version), 1 Count","top",199,"trust"
"Fitbit Flex 2, Black (US Version), 1 Count","track",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","unbelievable",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","upset",199,"anger"
"Fitbit Flex 2, Black (US Version), 1 Count","upset",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","upset",199,"sadness"
"Fitbit Flex 2, Black (US Version), 1 Count","useless",199,"negative"
"Fitbit Flex 2, Black (US Version), 1 Count","watch",199,"anticipation"
"Fitbit Flex 2, Black (US Version), 1 Count","watch",199,"fear"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","time",197,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","cutting",170,"anger"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","cutting",170,"disgust"
